t,Cb,x
134,1.107932118,0.1
134.25,1.101701242,0.1
134.5,1.103306142,0.1
134.75,1.05736201,0.1
135,1.022153722,0.1
135.25,0.894440278,0.1
135.5,1.009721708,0.1
135.75,0.922668682,0.1
136,1.018699804,0.1
136.25,0.87229678,0.1
136.5,0.935278742,0.1
136.75,1.039828922,0.1
137,0.875547901,0.1
137.25,0.992647579,0.1
137.5,0.86842757,0.1
137.75,1.107907908,0.1
138,1.060747921,0.1
138.25,1.041803652,0.1
138.5,0.793789214,0.1
138.75,0.9491133,0.1
139,1.04748987,0.1
139.25,0.95607725,0.1
139.5,0.81382395,0.1
139.75,1.019361025,0.1
140,0.891882864,0.1
140.25,0.731175784,0.1
140.5,0.927803366,0.1
140.75,1.001204106,0.1
141,0.985997625,0.1
141.25,0.843307065,0.1
141.5,1.048179109,0.1
141.75,1.111569403,0.1
142,0.809227265,0.1
142.25,0.865548248,0.1
142.5,1.116330305,0.1
142.75,0.880950757,0.1
143,1.127289249,0.1
143.25,0.685869704,0.1
143.5,0.7682738,0.1
143.75,0.831892617,0.1
144,0.902975145,0.1
144.25,1.03771488,0.1
144.5,1.006399964,0.1
144.75,0.989862625,0.1
145,1.036643487,0.1
145.25,0.872909156,0.1
145.5,0.943086095,0.1
145.75,0.950455665,0.1
146,0.98279617,0.1
146.25,1.052141114,0.1
146.5,0.940756216,0.1
146.75,1.061651175,0.1
147,0.825431867,0.1
147.25,1.163517094,0.1
147.5,0.877113025,0.1
147.75,0.873833782,0.1
148,0.964662234,0.1
148.25,0.915536797,0.1
148.5,0.937177251,0.1
148.75,0.936476527,0.1
149,0.691998629,0.1
149.25,0.853495725,0.1
149.5,0.869161741,0.1
149.75,0.861880581,0.1
150,1.032737162,0.1
150.25,0.9452065,0.1
150.5,1.097164274,0.1
150.75,0.974954808,0.1
151,1.039612773,0.1
151.25,0.810731749,0.1
151.5,0.957023214,0.1
151.75,0.963035734,0.1
152,1.006272195,0.1
152.25,1.011446266,0.1
152.5,0.690607903,0.1
152.75,0.87493408,0.1
153,0.824010334,0.1
153.25,0.880664103,0.1
153.5,0.747126229,0.1
153.75,0.760294767,0.1
154,0.886314405,0.1
154.25,0.901045829,0.1
154.5,0.808390452,0.1
154.75,0.651892165,0.1
155,0.881882189,0.1
155.25,0.743055584,0.1
155.5,0.838442547,0.1
155.75,0.756097968,0.1
156,0.939241924,0.1
156.25,0.844809442,0.1
156.5,0.760736775,0.1
156.75,0.778192307,0.1
157,0.600575889,0.1
157.25,0.730727868,0.1
157.5,0.777247546,0.1
157.75,0.812183418,0.1
158,0.583170446,0.1
158.25,0.832046813,0.1
158.5,0.553537022,0.1
158.75,0.735341027,0.1
159,0.693049054,0.1
159.25,0.669405691,0.1
159.5,0.762653266,0.1
159.75,0.766642145,0.1
160,0.795585097,0.1
160.25,0.62376148,0.1
160.5,0.771429509,0.1
