t,Ca,x
119.25,0.297745926,0.1
119.5,0.219204452,0.1
119.75,0.588371395,0.1
120,0.336013811,0.1
120.25,0.505886068,0.1
120.5,0.516143449,0.1
120.75,0.430872559,0.1
121,0.568800659,0.1
121.25,0.451079844,0.1
121.5,0.467388723,0.1
121.75,0.445670961,0.1
122,0.37784051,0.1
122.25,0.312392244,0.1
122.5,0.46528962,0.1
122.75,0.402988675,0.1
123,0.450079518,0.1
123.25,0.55811139,0.1
123.5,0.45438257,0.1
123.75,0.297311674,0.1
124,0.429411252,0.1
124.25,0.501810769,0.1
124.5,0.495101196,0.1
124.75,0.370184598,0.1
125,0.315589935,0.1
125.25,0.227613854,0.1
125.5,0.313704883,0.1
125.75,0.380083974,0.1
126,0.14543432,0.1
126.25,0.206805073,0.1
126.5,0.198509655,0.1
126.75,0.45320336,0.1
127,0.484547524,0.1
127.25,0.102057145,0.1
127.5,0.333939765,0.1
127.75,0.361359465,0.1
128,0.413490689,0.1
128.25,0.224775042,0.1
128.5,0.362103409,0.1
128.75,0.394340158,0.1
129,0.350898194,0.1
129.25,0.327340058,0.1
129.5,0.249721607,0.1
129.75,0.262861002,0.1
130,0.360718287,0.1
130.25,0.366316151,0.1
130.5,0.131997173,0.1
130.75,0.193169354,0.1
131,0.313574325,0.1
131.25,0.446930688,0.1
131.5,0.142449172,0.1
131.75,0.269055289,0.1
132,0.331684654,0.1
132.25,0.288319358,0.1
132.5,0.458284952,0.1
132.75,0.147383234,0.1
133,0.16279376,0.1
133.25,0.252447217,0.1
133.5,0.3462885,0.1
133.75,-0.012523527,0.1
134,0.131809782,0.1
134.25,0.110638729,0.1
134.5,0.230642122,0.1
134.75,-0.004342777,0.1
135,0.130193985,0.1
135.25,0.33679997,0.1
135.5,0.398931335,0.1
135.75,0.222182139,0.1
136,0.223026019,0.1
136.25,0.279064656,0.1
136.5,0.101170201,0.1
136.75,0.159127351,0.1
137,0.004219327,0.1
137.25,0.234541442,0.1
137.5,0.163739427,0.1
137.75,0.099513888,0.1
138,0.067196272,0.1
138.25,0.37210721,0.1
138.5,0.172003053,0.1
138.75,0.176097476,0.1
139,0.187180497,0.1
139.25,0.115186088,0.1
139.5,0.429227421,0.1
139.75,-0.157452732,0.1
140,0.118181323,0.1
140.25,0.137292276,0.1
140.5,0.115670493,0.1
140.75,0.092208257,0.1
141,0.19973028,0.1
141.25,0.179484186,0.1
141.5,0.165134568,0.1
141.75,0.103847888,0.1
142,0.293653671,0.1
142.25,0.212827471,0.1
142.5,0.010594205,0.1
142.75,-0.013129582,0.1
143,0.089437412,0.1
143.25,0.030851406,0.1
143.5,0.114633189,0.1
143.75,-0.069936827,0.1
144,0.443741246,0.1
144.25,0.03913237,0.1
144.5,0.35116105,0.1
144.75,0.145798365,0.1
145,0.092467039,0.1
145.25,-0.103917779,0.1
145.5,0.095667457,0.1
145.75,0.008212329,0.1
146,0.135807239,0.1
146.25,0.173183961,0.1
146.5,-0.17829507,0.1
146.75,-0.031935837,0.1
147,0.116772122,0.1
147.25,0.03843433,0.1
147.5,0.282823251,0.1
147.75,0.066782088,0.1
148,0.13061585,0.1
148.25,0.27524929,0.1
148.5,0.376428349,0.1
148.75,-0.016678649,0.1
149,0.075356942,0.1
149.25,-0.022911636,0.1
149.5,0.113442808,0.1
149.75,0.138755479,0.1
150,0.113464143,0.1
150.25,0.14946996,0.1
150.5,0.146793629,0.1
150.75,-0.107842021,0.1
151,0.278328736,0.1
151.25,0.226545243,0.1
151.5,0.245648947,0.1
151.75,0.260872782,0.1
152,-0.020461966,0.1
152.25,0.222653199,0.1
152.5,0.017054762,0.1
152.75,0.060094121,0.1
153,-0.010554203,0.1
153.25,0.17340967,0.1
153.5,0.148459268,0.1
153.75,-0.081940475,0.1
154,-0.178751935,0.1
154.25,-0.009862623,0.1
154.5,-0.019344226,0.1
154.75,0.16342852,0.1
155,0.057456059,0.1
155.25,0.257744007,0.1
155.5,0.076343574,0.1
155.75,0.106665611,0.1
156,0.023275927,0.1
156.25,0.053998622,0.1
156.5,0.05333751,0.1
156.75,0.254408709,0.1
157,0.045189649,0.1
157.25,0.041633044,0.1
157.5,0.157424257,0.1
157.75,0.044511921,0.1
158,-0.126237902,0.1
158.25,-0.15242466,0.1
158.5,0.001161394,0.1
158.75,0.207152985,0.1
159,0.073406318,0.1
159.25,-0.021498785,0.1
159.5,0.096079117,0.1
159.75,0.202976027,0.1
160,-0.00275519,0.1
160.25,0.096436439,0.1
160.5,0.235220518,0.1
160.75,0.152994009,0.1
161,0.028081368,0.1
161.25,-0.090379909,0.1
161.5,0.117343431,0.1
161.75,0.028998563,0.1
162,0.084690183,0.1
162.25,-0.082977966,0.1
162.5,-0.040170515,0.1
162.75,0.162445114,0.1
163,0.095574094,0.1
163.25,-0.008650207,0.1
163.5,0.12990897,0.1
163.75,0.218475547,0.1
164,0.058772307,0.1
164.25,0.280420907,0.1
164.5,-0.072333181,0.1
164.75,0.079239532,0.1
165,0.176924198,0.1
165.25,0.075245916,0.1
165.5,-0.024364875,0.1
165.75,0.014137945,0.1
166,-0.024220663,0.1
166.25,0.095761973,0.1
166.5,0.040653323,0.1
166.75,0.02171292,0.1
167,-0.030539179,0.1
167.25,0.151135591,0.1
167.5,-0.093760979,0.1
167.75,-0.072267963,0.1
168,-0.175390001,0.1
168.25,-0.066096957,0.1
168.5,0.138644139,0.1
168.75,0.31670566,0.1
169,0.050487475,0.1
169.25,-0.13324912,0.1
169.5,0.192815794,0.1
169.75,-0.007474091,0.1
170,0.367686151,0.1
170.25,-0.006495238,0.1
170.5,0.163166008,0.1
170.75,-0.104228213,0.1
171,-0.047956969,0.1
171.25,0.030686844,0.1
171.5,0.225433008,0.1
171.75,-0.091331265,0.1
172,0.046349254,0.1
172.25,-0.183525487,0.1
172.5,0.152584292,0.1
172.75,-0.009004854,0.1
173,-0.049885575,0.1
173.25,0.136841962,0.1
173.5,0.113813504,0.1
173.75,0.067777827,0.1
174,0.100847849,0.1
174.25,0.085074972,0.1
174.5,0.233067609,0.1
174.75,-0.101345484,0.1
175,0.091066196,0.1
175.25,0.154152859,0.1
175.5,0.11847043,0.1
175.75,-0.16324818,0.1
176,-0.122406185,0.1
176.25,-0.02343247,0.1
176.5,-0.018311728,0.1
176.75,0.094164791,0.1
177,0.044190524,0.1
177.25,0.02630537,0.1
177.5,0.119266701,0.1
177.75,-0.050977683,0.1
178,0.163368692,0.1
178.25,0.188695812,0.1
178.5,0.057421877,0.1
178.75,0.168916268,0.1
179,-0.036233264,0.1
179.25,0.048513398,0.1
179.5,-0.228902108,0.1
179.75,0.17967491,0.1
180,0.061212885,0.1
180.25,-0.001209175,0.1
180.5,0.225012356,0.1
180.75,-0.061409596,0.1
181,-0.110245958,0.1
181.25,0.071975485,0.1
181.5,-0.052832884,0.1
181.75,-0.271448074,0.1
182,0.051831218,0.1
182.25,-0.045271031,0.1
182.5,0.00654696,0.1
182.75,0.262188654,0.1
183,-0.22823012,0.1
183.25,0.03919568,0.1
183.5,0.140102147,0.1
183.75,-0.007506925,0.1
184,-0.012488995,0.1
184.25,0.18502262,0.1
184.5,-0.004166762,0.1
184.75,0.007448765,0.1
185,0.139485863,0.1
185.25,0.063480956,0.1
185.5,-0.064487776,0.1
185.75,-0.0453568,0.1
186,0.06880397,0.1
186.25,-0.056744576,0.1
186.5,-0.13244231,0.1
186.75,0.110349101,0.1
187,0.216292429,0.1
187.25,0.251727727,0.1
187.5,-0.009735884,0.1
187.75,0.098146017,0.1
188,-0.035027694,0.1
188.25,-0.124739592,0.1
188.5,0.057606788,0.1
188.75,0.002275171,0.1
189,-0.028774145,0.1
189.25,0.192441554,0.1
189.5,0.120293708,0.1
189.75,0.117836544,0.1
190,-0.089593949,0.1
190.25,-0.268937817,0.1
190.5,-0.152327127,0.1
190.75,-0.092122041,0.1
191,0.103765796,0.1
191.25,0.120667249,0.1
191.5,0.086463073,0.1
191.75,-0.207987068,0.1
192,0.062011759,0.1
192.25,0.00631728,0.1
192.5,-0.061881111,0.1
192.75,0.038720541,0.1
193,-0.232022413,0.1
193.25,0.126244637,0.1
193.5,-0.100004372,0.1
193.75,-0.137544888,0.1
194,0.134341537,0.1
194.25,0.148750029,0.1
194.5,0.180336655,0.1
194.75,-0.069486303,0.1
195,0.35750681,0.1
195.25,-0.233748147,0.1
195.5,-0.066824133,0.1
195.75,0.006809575,0.1
196,-0.172591416,0.1
196.25,-0.128701736,0.1
196.5,0.212087896,0.1
196.75,0.161741504,0.1
197,-0.042245399,0.1
197.25,-0.017558651,0.1
197.5,0.236511423,0.1
197.75,-0.03065699,0.1
198,-0.12870582,0.1
198.25,-0.137347851,0.1
198.5,0.04876397,0.1
198.75,0.02846556,0.1
199,0.129371282,0.1
199.25,-0.100003943,0.1
199.5,-0.103859854,0.1
199.75,0.030975312,0.1
200,-0.040743504,0.1
200.25,0.174392393,0.1
200.5,-0.14582922,0.1
200.75,0.118122469,0.1
201,0.095913452,0.1
201.25,0.103667373,0.1
201.5,-0.123225453,0.1
201.75,0.115559134,0.1
202,0.065982363,0.1
202.25,-0.059283422,0.1
202.5,-0.053691642,0.1
202.75,0.075617667,0.1
203,0.016734993,0.1
203.25,0.167798329,0.1
203.5,0.179787208,0.1
203.75,-0.080428658,0.1
204,-0.118049216,0.1
204.25,0.072681086,0.1
204.5,0.118163049,0.1
204.75,0.201007328,0.1
205,-0.005025968,0.1
205.25,0.073946056,0.1
205.5,-0.043024639,0.1
205.75,-0.143668953,0.1
206,0.169870165,0.1
206.25,0.022279171,0.1
206.5,-0.127213971,0.1
206.75,-0.136941285,0.1
207,0.028021723,0.1
207.25,0.000623118,0.1
207.5,0.036310704,0.1
207.75,0.04197974,0.1
208,-0.100437776,0.1
208.25,0.10050129,0.1
208.5,0.043969817,0.1
208.75,0.017003419,0.1
209,-0.015980949,0.1
209.25,0.062811947,0.1
209.5,0.179808942,0.1
209.75,0.10187228,0.1
210,0.169164809,0.1
210.25,-0.137589738,0.1
210.5,-0.019003374,0.1
210.75,-0.054118529,0.1
211,0.04321935,0.1
211.25,0.085354376,0.1
211.5,-0.100217975,0.1
211.75,-0.117295456,0.1
212,0.023395262,0.1
212.25,-0.103121651,0.1
212.5,0.035797053,0.1
212.75,0.068848469,0.1
213,0.124205521,0.1
213.25,-0.074139876,0.1
213.5,-0.037704265,0.1
213.75,-0.061721039,0.1
214,0.180093555,0.1
214.25,0.142382828,0.1
214.5,0.040612279,0.1
214.75,0.097182829,0.1
215,-0.193496407,0.1
215.25,0.066086884,0.1
215.5,0.053547599,0.1
215.75,-0.210272004,0.1
216,-0.00389939,0.1
216.25,-0.077161892,0.1
216.5,-0.086486884,0.1
216.75,0.106929337,0.1
217,-0.037703815,0.1
217.25,-0.060837453,0.1
217.5,-0.045087963,0.1
217.75,0.030253013,0.1
218,0.142808648,0.1
218.25,0.038581633,0.1
